Gender,Height,Weight
Male,187.5714232,109.72098510000001
Male,174.70603630000005,73.62273185
Male,188.23966769999998,96.49755015
Male,182.1966851,99.80950419
Male,177.4997615,93.59861876
Male,170.82265980000003,69.04221615
Male,174.7141064,83.42821885
Male,173.6052294,76.19035195
Male,170.2281321,79.80018673
Male,161.1794947,70.94164201
Male,180.83627099999998,84.64250139
Male,181.967645,96.95128455
Male,164.506476,75.80767932
Male,175.978998,85.93127231
Male,175.87907990000005,84.56504714
Male,171.819874,78.10261398
Male,183.94252419999998,88.91696224
Male,162.4947873,78.41855902
Male,176.8857521,84.36083528
Male,172.5574523,82.74726813
Male,172.50422749999996,78.9775925
Male,176.3761773,89.68939099
Male,168.01879519999997,67.66393615
Male,191.02317299999999,103.7645136
Male,172.4487187,73.48492123
Male,173.08584330000005,87.24568902
Male,175.4876638,83.65831963
Male,184.9141425,93.8156121
Male,171.2499554,79.47563349
Male,173.980895,70.00858628
Male,174.2900008,85.051604
Male,188.0458714,96.57437493
Male,181.6816687,88.46506527
Male,175.7176092,93.06964917
Male,176.726094,92.60721401
Male,178.8183594,87.49949121
Male,175.4534748,89.57908694
Male,170.6715491,83.37518697
Male,167.15058180000003,74.32187695
Male,163.3326372,73.98449171
Male,172.654814,78.0793299
Male,183.3611419,88.0174433
Male,165.7866776,76.48366074
Male,167.8690505,73.11605148
Male,171.4762166,74.68858448
Male,178.0661571,85.69364533
Male,173.3596646,84.84916998
Male,183.3186812,94.83287107
Male,175.7168384,87.09616643
Male,185.0907148,95.86326582
Male,164.5477608,75.12010874
Male,178.2662167,91.20461347
Male,173.96828359999995,78.66372102
Male,171.0203104,82.28507206
Male,170.156998,76.99166618
Male,168.90885669999997,74.07589557
Male,173.6167639,86.05103355
Male,179.767126,87.14629376
Male,180.88844609999998,89.90123773
Male,177.833948,95.03954411
Male,181.36408280000003,90.15585187
Male,176.6620929,89.84728729
Male,187.4990778,88.58225936
Male,170.1720822,74.81696269
Male,181.40290339999999,81.58482719
Male,165.8094225,70.42034882
Male,173.41644630000005,83.69651972
Male,184.8240397,100.09779420000001
Male,172.9724247,83.14915395
Male,174.9976334,89.10874364
Male,175.9953553,83.73109116
Male,179.12899030000003,94.13523529
Male,176.9458621,80.37692367
Male,171.69198280000003,73.98448494
Male,184.1706258,98.07485943
Male,180.9825834,92.83009475
Male,182.39533469999998,91.13596374
Male,183.50272030000002,100.19927559999999
Male,168.9420743,89.10808505
Male,167.71374640000005,76.49412231
Male,171.645971,82.29642716
Male,173.34628419999999,90.10998495
Male,187.5183626,107.9171281
Male,177.2982595,78.49012935
Male,167.5373276,72.88493912
Male,180.5407046,85.54877527
Male,169.1543392,94.50394005
Male,175.1368991,87.74062225
Male,173.340933,78.97476423
Male,183.6847358,89.52481313
Male,182.4111679,91.45352147
Male,165.70210580000003,82.10558297
Male,179.42694640000005,82.60930266
Male,164.41909099999995,80.53492549
Male,170.44302,74.83115
Male,165.3984116,75.16795635
Male,182.12113440000002,87.58596783
Male,169.75551059999995,81.95676566
Male,168.8370392,78.36877853
Male,176.30527659999996,80.49925176
Male,177.93253080000005,91.08977270000001
Male,169.52875580000003,76.08542018
Male,168.336796,70.03262023
Male,173.5542579,80.73244902
Male,177.992756,83.433194
Male,174.5817899,81.28585551
Male,171.59237019999995,71.92517053
Male,168.28422659999995,75.52466992
Male,175.7227948,78.01042029999998
Male,171.7271266,79.09019821
Male,176.00355459999997,85.15978964
Male,173.20433740000001,91.39332783
Male,181.88199790000002,92.95325329
Male,175.7600181,81.05033439
Male,170.8453809,74.39563231
Male,187.16039119999996,101.2734878
Male,176.6245261,92.06026406
Male,173.51136200000005,85.90659882
Male,172.05696719999997,80.81673865
Male,182.13263700000002,101.2867921
Male,161.6259521,75.76288511
Male,174.55184409999995,81.85915041
Male,170.05132780000002,74.58828094
Male,159.2757539,68.02501916
Male,183.5363587,87.50255363
Male,180.1079788,91.57296674
Male,171.72900269999997,81.58669764
Male,179.8359597,89.11618817
Male,176.0341134,85.0719278
Male,168.2569618,77.87864369
Male,171.4301702,86.95340713
Male,167.1478707,75.22852703
Male,181.46701240000002,84.21513416
Male,173.8995908,80.86719856
Male,162.5293285,68.48288981
Male,180.3448201,95.22226167
Male,173.0748994,78.99658679
Male,173.7243166,81.59166498
Male,172.96439819999995,76.08876129
Male,173.0770995,83.02759359
Male,174.9046294,76.90961745
Male,168.0180855,78.66721927
Male,168.16332140000003,82.05005485
Male,171.2775853,83.23818387
Male,176.45660930000003,93.42993223
Male,179.1102836,83.3519957
Male,181.1994751,91.60494351
Male,180.3449397,98.03034601
Male,168.1539632,72.29817573
Male,184.2599999,95.40691954
Male,171.3975535,81.01985469
Male,165.9900428,66.55999829
Male,179.9439185,88.8754625
Male,177.6437272,77.19040588
Male,164.4391313,76.95372172
Male,176.04334330000003,89.98298841
Male,174.84969569999996,81.60470113
Male,157.32080109999995,66.79763009
Male,174.22707230000003,80.27864043
Male,165.655182,84.12670506
Male,163.4074662,80.50976879
Male,174.622223,77.03238514
Male,184.1237247,90.07506967
Male,170.7741845,92.23808709
Male,170.84955630000005,87.64199059
Male,165.4010009,80.80058605
Male,168.3075629,73.8355168
Male,171.9622663,72.25108692
Male,166.44796780000001,78.06967499
Male,177.46718330000004,91.55166782
Male,173.9439634,77.27045387
Male,183.4234669,93.16315234
Male,173.17601299999995,77.0143733
Male,182.8322646,90.91676056
Male,167.80544730000003,81.00652084
Male,169.306657,76.20981978
Male,171.7025375,80.63342863
Male,173.344698,87.66918403
Male,164.6138985,73.6540606
Male,171.43023440000005,83.18143567
Male,173.179056,82.12559637
Male,176.6655977,95.64976103
Male,168.6617142,75.10054663
Male,169.1440791,88.97136766
Male,182.7171519,91.64664208
Male,173.44908600000005,77.29824678
Male,177.686846,91.60203591
Male,182.501868,87.7187891
Male,167.0189665,81.58110196
Male,170.2609043,70.98258259999999
